Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,30403689.854402993,2423710.5078233546,83652.61855354601,29359.646160636934,262245.8146182114,9989.88619413263,0.0,26780105.056931656,0.0 
 01/12  02:00:00,32456864.03501486,2204854.2592960866,83652.61855354601,13044.481225768317,256573.49569035263,7989.769793380162,0.0,28990327.414660547,0.0 
 01/12  03:00:00,33133320.05621526,2130968.725358217,83652.61855354601,9773.797516668043,250967.13395932948,3989.536991875235,0.0,29720256.75884105,0.0 
 01/12  04:00:00,35347794.101649836,2076109.0398318248,83652.61855354601,6522.2406128841585,243513.97071691064,3989.536991875235,0.0,31927855.779078946,0.0 
 01/12  05:00:00,36695265.163013645,2048824.1082936786,250957.855660638,6522.2406128841585,239754.41049728324,7989.769793380162,0.0,33099009.971741192,0.0 
 01/12  06:00:00,36523702.48483735,2304415.351728236,522828.86595966254,19566.721838652476,239754.41049728324,11990.002594885089,0.0,32413396.284587894,0.0 
 01/12  07:00:00,41426632.11769627,2820625.9585106582,585568.329874822,39152.57048262144,249120.3324479338,23980.005189770178,0.0,35143754.599626884,0.0 
 01/12  08:00:00,42631470.93266572,3274713.361686757,522828.86595966254,58738.41912658998,262245.8146182114,51970.93899067497,0.0,35910944.58175201,0.0 
 01/12  09:00:00,38464798.98813618,3173562.028195702,230044.7010222515,110973.72444561248,267852.1763492346,77961.75639082717,0.0,33084108.685076486,0.0 
 01/12  10:00:00,39043948.230182916,3108320.649174777,156848.65978789877,124018.20567138083,271611.73656886193,91962.57119609449,0.0,33790754.48036235,0.0 
 01/12  11:00:00,41003304.908943795,3180213.4409553325,156848.65978789877,107703.04073651227,262245.8146182114,89962.45479534201,0.0,34802244.719742894,0.0 
 01/12  12:00:00,40277603.25016543,3226508.9837262738,156848.65978789877,91387.87580164369,262245.8146182114,79961.87279157966,0.0,34314022.96007274,0.0 
 01/12  13:00:00,35898991.531995445,3164107.770883791,156848.65978789877,78324.26777055899,275305.33959165344,71961.40718856991,0.0,31484381.66404744,0.0 
 01/12  14:00:00,36249176.49683488,3097944.404906937,156848.65978789877,88117.19209254326,275305.33959165344,63971.63739518969,0.0,31889403.699655443,0.0 
 01/12  15:00:00,40672669.58959355,3092850.3958465457,156848.65978789877,71802.02715767492,271611.73656886193,55971.17179217984,0.0,34588086.30208712,0.0 
 01/12  16:00:00,39379912.14742571,3238555.609166743,271871.0102990245,68531.3434485745,275305.33959165344,51970.93899067497,0.0,33473393.801765203,0.0 
 01/12  17:00:00,37080114.39869103,3809769.245643656,585568.329874822,71802.02715767492,290343.58047016273,53971.055391427355,0.0,31579381.01379153,0.0 
 01/12  18:00:00,37806318.48235947,4691880.402814431,815613.0308970734,94639.43270542756,318441.34632211406,51970.93899067497,0.0,30878989.417971328,0.0 
 01/12  19:00:00,41495793.25774077,4790626.610930283,1097940.6185152913,166460.58666841884,327807.2682727643,51970.93899067497,0.0,32641208.955463193,0.0 
 01/12  20:00:00,42379183.459151134,4580943.455324915,1216765.360778851,212154.52456924066,318441.34632211406,51970.93899067497,0.0,33581732.142091,0.0 
 01/12  21:00:00,37397333.66478783,4508531.5501760645,1216765.360778851,172982.8272813029,309075.4243714635,51970.93899067497,0.0,30429740.564477604,0.0 
 01/12  22:00:00,41040795.12257066,4334308.999572631,920178.804089006,127288.88938048104,303403.1054436047,49970.82258992248,0.0,33751306.07313846,0.0 
 01/12  23:00:00,43907320.11119492,3677044.413760686,512372.28864046925,84846.50838344306,290343.58047016273,33980.58719353241,0.0,36639444.800761856,0.0 
 01/12  24:00:00,41091520.202328786,3037549.134809546,209131.546383865,58738.41912658998,271611.73656886193,17990.35179714245,0.0,35916354.19836802,0.0 
