Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,14824041.442016728,2423710.5078233546,83652.61855354601,29359.646160636934,262245.8146182114,9989.88619413263,0.0,10872170.890791781,0.0 
 01/12  02:00:00,18298121.283632047,2204854.2592960866,83652.61855354601,13044.481225768317,256573.49569035263,7989.769793380162,0.0,14565106.98093437,0.0 
 01/12  03:00:00,19025841.51971282,2130968.725358217,83652.61855354601,9773.797516668043,250967.13395932948,3989.536991875235,0.0,15366712.750953013,0.0 
 01/12  04:00:00,20972745.796544213,2076109.0398318248,83652.61855354601,6522.2406128841585,243513.97071691064,3989.536991875235,0.0,17368476.7133108,0.0 
 01/12  05:00:00,21944858.532925494,2048824.1082936786,250957.855660638,6522.2406128841585,239754.41049728324,7989.769793380162,0.0,18197023.48576683,0.0 
 01/12  06:00:00,21853202.228162244,2304415.351728236,522828.86595966254,19566.721838652476,239754.41049728324,11990.002594885089,0.0,17572143.23244101,0.0 
 01/12  07:00:00,26480437.864694618,2820625.9585106582,585568.329874822,39152.57048262144,249120.3324479338,23980.005189770178,0.0,20101134.04741086,0.0 
 01/12  08:00:00,27554461.78699463,3274713.361686757,522828.86595966254,58738.41912658998,262245.8146182114,51970.93899067497,0.0,20758380.74006059,0.0 
 01/12  09:00:00,23787573.762406975,3173562.028195702,230044.7010222515,110973.72444561248,267852.1763492346,77961.75639082717,0.0,18266131.770775203,0.0 
 01/12  10:00:00,23909165.3599574,3108320.649174777,156848.65978789877,124018.20567138083,271611.73656886193,91962.57119609449,0.0,18522552.589121494,0.0 
 01/12  11:00:00,25462206.92226269,3180213.4409553325,156848.65978789877,107703.04073651227,262245.8146182114,89962.45479534201,0.0,19154499.630171813,0.0 
 01/12  12:00:00,23412261.02071204,3226508.9837262738,156848.65978789877,91387.87580164369,262245.8146182114,79961.87279157966,0.0,17758141.251594033,0.0 
 01/12  13:00:00,20403443.82607225,3164107.770883791,156848.65978789877,78324.26777055899,275305.33959165344,71961.40718856991,0.0,15792101.603714995,0.0 
 01/12  14:00:00,22926292.609465625,3097944.404906937,156848.65978789877,88117.19209254326,275305.33959165344,63971.63739518969,0.0,17558007.814205144,0.0 
 01/12  15:00:00,24542522.182805013,3092850.3958465457,156848.65978789877,71802.02715767492,271611.73656886193,55971.17179217984,0.0,18324682.6837316,0.0 
 01/12  16:00:00,22262280.409987293,3238555.609166743,271871.0102990245,68531.3434485745,275305.33959165344,51970.93899067497,0.0,16659031.334026791,0.0 
 01/12  17:00:00,21792287.9358633,3809769.245643656,585568.329874822,71802.02715767492,290343.58047016273,53971.055391427355,0.0,16097478.819121236,0.0 
 01/12  18:00:00,22357992.098260902,4691880.402814431,815613.0308970734,94639.43270542756,318441.34632211406,51970.93899067497,0.0,15340616.464323543,0.0 
 01/12  19:00:00,25984777.972897716,4790626.610930283,1097940.6185152913,166460.58666841884,327807.2682727643,51970.93899067497,0.0,16967776.655207667,0.0 
 01/12  20:00:00,26538143.937271502,4580943.455324915,1216765.360778851,212154.52456924066,318441.34632211406,51970.93899067497,0.0,17579971.401647136,0.0 
 01/12  21:00:00,22990353.048923593,4508531.5501760645,1216765.360778851,172982.8272813029,309075.4243714635,51970.93899067497,0.0,15388272.596957382,0.0 
 01/12  22:00:00,23008492.048173748,4334308.999572631,920178.804089006,127288.88938048104,303403.1054436047,49970.82258992248,0.0,16291768.527882557,0.0 
 01/12  23:00:00,27835488.21268665,3677044.413760686,512372.28864046925,84846.50838344306,290343.58047016273,33980.58719353241,0.0,20528595.293188035,0.0 
 01/12  24:00:00,25243824.527261287,3037549.134809546,209131.546383865,58738.41912658998,271611.73656886193,17990.35179714245,0.0,19876123.6754951,0.0 
