Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,17189888.899780303,2423710.5078233546,83652.61855354601,29359.646160636934,262245.8146182114,9989.88619413263,0.0,13845065.718217148,0.0 
 01/12  02:00:00,20324830.590183552,2204854.2592960866,83652.61855354601,13044.481225768317,256573.49569035263,7989.769793380162,0.0,17088719.49830254,0.0 
 01/12  03:00:00,20975780.116483815,2130968.725358217,83652.61855354601,9773.797516668043,250967.13395932948,3989.536991875235,0.0,17789749.80063184,0.0 
 01/12  04:00:00,22662522.01173653,2076109.0398318248,83652.61855354601,6522.2406128841585,243513.97071691064,3989.536991875235,0.0,19474154.363388024,0.0 
 01/12  05:00:00,23532670.71117033,2048824.1082936786,250957.855660638,6522.2406128841585,239754.41049728324,7989.769793380162,0.0,20176874.94449991,0.0 
 01/12  06:00:00,23075406.604831405,2304415.351728236,522828.86595966254,19566.721838652476,239754.41049728324,11990.002594885089,0.0,19218916.122318994,0.0 
 01/12  07:00:00,27937621.742090397,2820625.9585106582,585568.329874822,39152.57048262144,249120.3324479338,23980.005189770178,0.0,21892071.6724445,0.0 
 01/12  08:00:00,28954818.127530117,3274713.361686757,522828.86595966254,58738.41912658998,262245.8146182114,51970.93899067497,0.0,22472817.643570445,0.0 
 01/12  09:00:00,25031468.147246916,3173562.028195702,230044.7010222515,110973.72444561248,267852.1763492346,77961.75639082717,0.0,19910433.185502518,0.0 
 01/12  10:00:00,25090705.410397917,3108320.649174777,156848.65978789877,124018.20567138083,271611.73656886193,91962.57119609449,0.0,20099213.01565832,0.0 
 01/12  11:00:00,27060884.962654162,3180213.4409553325,156848.65978789877,107703.04073651227,262245.8146182114,89962.45479534201,0.0,21114656.67149122,0.0 
 01/12  12:00:00,24799556.525760807,3226508.9837262738,156848.65978789877,91387.87580164369,262245.8146182114,79961.87279157966,0.0,19552187.143255457,0.0 
 01/12  13:00:00,21573954.5442247,3164107.770883791,156848.65978789877,78324.26777055899,275305.33959165344,71961.40718856991,0.0,17447337.990073096,0.0 
 01/12  14:00:00,24543603.284517467,3097944.404906937,156848.65978789877,88117.19209254326,275305.33959165344,63971.63739518969,0.0,19587461.851800643,0.0 
 01/12  15:00:00,26415859.62323925,3092850.3958465457,156848.65978789877,71802.02715767492,271611.73656886193,55971.17179217984,0.0,20576852.66469715,0.0 
 01/12  16:00:00,23976249.134347502,3238555.609166743,271871.0102990245,68531.3434485745,275305.33959165344,51970.93899067497,0.0,18809504.554111008,0.0 
 01/12  17:00:00,23018840.828188855,3809769.245643656,585568.329874822,71802.02715767492,290343.58047016273,53971.055391427355,0.0,17796887.781250745,0.0 
 01/12  18:00:00,23886746.540865265,4691880.402814431,815613.0308970734,94639.43270542756,318441.34632211406,51970.93899067497,0.0,17237176.22677367,0.0 
 01/12  19:00:00,27636032.854580954,4790626.610930283,1097940.6185152913,166460.58666841884,327807.2682727643,51970.93899067497,0.0,19044286.21110989,0.0 
 01/12  20:00:00,28240833.670306176,4580943.455324915,1216765.360778851,212154.52456924066,318441.34632211406,51970.93899067497,0.0,19731480.812128365,0.0 
 01/12  21:00:00,23033131.30794999,4508531.5501760645,1216765.360778851,172982.8272813029,309075.4243714635,51970.93899067497,0.0,16360929.826832425,0.0 
 01/12  22:00:00,25729232.641504318,4334308.999572631,920178.804089006,127288.88938048104,303403.1054436047,49970.82258992248,0.0,18899542.829178993,0.0 
 01/12  23:00:00,28547201.487684663,3677044.413760686,512372.28864046925,84846.50838344306,290343.58047016273,33980.58719353241,0.0,21573896.700035144,0.0 
 01/12  24:00:00,24271520.50309929,3037549.134809546,209131.546383865,58738.41912658998,271611.73656886193,17990.35179714245,0.0,19695127.130098812,0.0 
