Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1_FRONTROW_BOTTOMFLOOR:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  15:00:00,-9.8,-10.839810800675263,-10.839810800675263,21.999999998061583,248672784.14965108,36617461.96882949,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,0.0,185848575.51988393,0.0 
 01/12  16:00:00,-9.3,-10.26873986632781,-10.26873986632781,21.99999999971595,213955867.47901893,38225869.85629992,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,0.0,163549510.71215928,0.0 
 01/12  17:00:00,-9.0,-9.631936030197465,-9.631936030197465,21.999999999958124,223769207.65648833,44795449.52530815,6397739.2604713,1072331.7465090365,5226184.44846293,805955.7268318479,0.0,163361504.51792544,0.0 
 01/12  18:00:00,-9.0,-9.5608035705968,-9.5608035705968,21.999999999989083,308296674.3694282,55269617.26711448,8911136.827085022,1413398.3701989125,5731944.233798051,776087.7678707795,0.0,202846229.58998123,0.0 
 01/12  19:00:00,-9.1,-10.008556105180014,-10.008556105180014,21.99999999999775,271568684.7068345,55399498.511634886,11995761.113383692,2486015.7671465483,5900530.828909755,776087.7678707795,0.0,173143090.162583,0.0 
 01/12  20:00:00,-9.4,-10.742193848268183,-10.742193848268183,21.999999999999858,228816102.03725973,51663709.24382042,13294003.658122186,3168434.664964901,5731944.233798051,776087.7678707795,0.0,150665849.41302145,0.0 
 01/12  21:00:00,-10.1,-11.31333528157844,-11.31333528157844,21.99998150258977,227402795.84171936,49934365.634654075,13294003.658122186,2583422.566709569,5563357.63868634,776087.7678707795,0.0,150982063.81436634,0.0 
 01/12  22:00:00,-10.9,-12.205826279051855,-12.205826279051855,21.999998523640834,311503308.9541186,47741914.334141746,10053590.266454902,1901003.6688912208,5461255.897984883,746219.8089097101,0.0,207972534.49940386,0.0 
 01/12  23:00:00,-12.1,-13.098383856871454,-13.098383856871454,21.999966806323304,262295846.4542262,40294035.26445979,5598021.852912389,1267145.345635079,5226184.44846293,507435.85892682965,0.0,186685916.77029604,0.0 
 01/12  24:00:00,-13.5,-14.428912969801702,-14.428912969801702,21.999999151288826,222914230.96708798,32708042.448952936,2284906.8787397505,877232.4969443938,4889011.258239515,268651.90894395043,0.0,173835691.72517553,0.0 
